Subject,Baseline_Power_alpha_C3,Baseline_Power_alpha_C4,Baseline_Power_beta_C3,Baseline_Power_beta_C4,Baseline_Power_delta_C3,Baseline_Power_delta_C4,Baseline_Power_gamma_C3,Baseline_Power_gamma_C4,Baseline_Power_theta_C3,Baseline_Power_theta_C4,Percent_Change_alpha_C3,Percent_Change_alpha_C4,Percent_Change_beta_C3,Percent_Change_beta_C4,Percent_Change_delta_C3,Percent_Change_delta_C4,Percent_Change_gamma_C3,Percent_Change_gamma_C4,Percent_Change_theta_C3,Percent_Change_theta_C4,Sound_Power_alpha_C3,Sound_Power_alpha_C4,Sound_Power_beta_C3,Sound_Power_beta_C4,Sound_Power_delta_C3,Sound_Power_delta_C4,Sound_Power_gamma_C3,Sound_Power_gamma_C4,Sound_Power_theta_C3,Sound_Power_theta_C4
1,4.0966089983908544e-10,4.678286755875381e-10,1.1562281741416392e-10,7.781262165082101e-11,1.9983718880263888e-06,3.092067737648003e-06,1.0166147818686386e-12,2.9713112638953237e-12,8.151837683063128e-09,7.62887396822267e-09,-19.808142242332142,-0.6996592172524279,7.461730216074815,33.08664104850891,-96.03017097374718,-95.8512285377768,-49.76990695366177,-77.17040579725524,-67.56029275104646,-60.86282002136198,3.285146860877416e-10,4.6455546913783997e-10,1.242502801178336e-10,1.0355820446686248e-10,7.933194726334808e-08,1.2828282389215082e-07,5.106465508554456e-13,6.78338304047749e-13,2.644432279795556e-09,2.9857261352867703e-09
2,6.587657514839129e-10,4.688319821320963e-10,1.2190341502846647e-10,6.222041521480932e-11,4.3335119503914996e-07,4.3980428302976604e-07,1.2524939287653895e-12,3.1180291046238537e-13,1.7419063062018527e-09,1.5163183937795564e-09,-36.70675978680186,-29.548970053846986,31.164362794672957,-26.87180341420561,-31.289748025033848,-37.37595251947971,308.3575596893723,46.95628582818816,3258.8366383982207,1.896210703585023,4.1695418952899286e-10,3.3029696012902595e-10,1.5989383754703363e-10,4.5500667554783285e-11,2.9775669804792695e-07,2.754232430259225e-07,5.114653642763889e-12,4.582139763197126e-13,5.850778721927692e-08,1.5450709854628328e-09
3,1.1390872866128397e-09,8.228593701657091e-10,7.908772670776113e-10,8.065223851826915e-11,2.1316549110322957e-05,1.1465670647519225e-06,1.296111043397348e-11,6.912067933286294e-13,2.7911265029018317e-09,1.7368018739374931e-09,-21.966895665543074,-21.904368414056005,-74.60200781934032,-26.48221081986107,-74.54469666818005,-55.22363338373426,-88.01733133973248,-6.0726703731197595,68.35211806728012,90.4666971981569,8.888651708231316e-10,6.426172221950313e-10,2.008669464509867e-10,5.929374268292392e-11,5.426192235909075e-06,5.133910724146778e-07,1.5530869179944027e-12,6.492320831731706e-13,4.698920585572438e-09,3.3080291661644396e-09
4,1.0045119116550768e-09,8.804954767479553e-10,1.0198538215181866e-10,1.0783812330391087e-10,1.60010057192796e-07,8.273962460023837e-07,9.27660848589851e-13,1.5311204483557658e-12,5.163786580930979e-09,5.994340007144984e-07,10.162647805381775,50.69710631346541,-6.17803043084925,22.727249253589473,44.74343670729484,503.1626147163671,-14.139536718129971,-18.11827061279304,45.27092993792255,-59.12425003222231,1.10659691939969e-09,1.3268812046801203e-09,9.56846942074614e-11,1.3234676237758385e-10,2.3160405585816098e-07,4.990544831453042e-06,7.964939022837729e-13,1.253707902114858e-12,7.501480786128088e-09,2.450231433539051e-07
5,5.14248647669928e-10,7.841269087229499e-10,4.1425737079755166e-11,5.2651739013608875e-11,1.4959754803771863e-06,1.6145377561488734e-06,2.5726582796825704e-13,2.3410989339694094e-13,1.0979966297828707e-09,8.04550814368507e-10,247.8733609644122,112.52880619832443,27.334407182449805,23.49003339509597,-23.388112622256838,-28.898485800638817,-16.425389291276453,19.34707226427442,67.48145891113445,2116.285246543487,1.788934054363417e-09,1.6664955581887107e-09,5.2749216731466534e-11,6.501965009100437e-11,1.1460950502252222e-06,1.1479607919422386e-06,2.1500891421104525e-13,2.794033036502629e-13,1.8389407743554397e-09,1.7831140999794698e-08
6,1.4860420684852373e-08,4.3227323348082897e-10,7.512044240536162e-09,1.0080735618884823e-10,2.8658907475607255e-08,1.0386792969564802e-08,1.2243158993712942e-10,1.2104871926552146e-12,1.767670794036974e-08,1.9911930129280833e-09,-33.52094790903003,-20.046029623126625,-13.151550839032279,-10.424474074100988,58.93739352632065,-1.818980796561511,-13.74290888573955,-17.49929631546176,-64.6972449073231,-41.55347826567645,9.879066808020285e-09,3.456196130444147e-10,6.524093923191452e-09,9.02987194781551e-11,4.554972055485003e-08,1.0197859200069817e-08,1.0560592808470746e-10,9.986604519517641e-13,6.240364912636502e-09,1.163783057073344e-09
7,1.6572801192148094e-09,2.0885621523752004e-10,3.0107712511714115e-10,3.500128241538625e-11,3.222750850008018e-08,5.996489717511578e-09,2.255952209038072e-12,5.217321666278623e-13,1.2902415912260108e-08,1.5788944950713114e-08,0.8955790106892569,70.93190255811159,-16.97476482886189,75.45980244651489,-56.7624720533277,49.21800274186006,-29.96742279944557,-48.031534095340504,-59.723181091321564,-95.59187423986833,1.672122372110823e-09,3.5700190231635753e-10,2.4996999117500817e-10,6.141318097978347e-11,1.3934377994238362e-08,8.947842191091784e-09,1.579901472402201e-12,2.7113620312764186e-13,5.196682691825515e-09,6.959965496253912e-10
8,1.9425140095977243e-09,3.489794119549356e-09,1.3132232784077742e-10,2.500203679402676e-10,5.282341768492288e-06,9.690530231187858e-06,2.046544676562934e-12,2.3120063498503085e-12,1.4998010776845166e-08,2.244307620176048e-08,-53.746711939909545,-75.03885184443907,418.9945947149184,596.5659402847143,-33.663523270591995,-86.33787036118413,144.8866505359343,2147.6139008378304,-85.341952905313,-91.67497192605538,8.984766004668487e-10,8.710926805047681e-10,6.815557831474392e-10,1.7415567268464277e-09,3.504119418023686e-06,1.3239328028735276e-06,5.0117147101564396e-12,5.196497610748885e-11,2.198415482936198e-09,1.8683923944533436e-09
9,6.949616158343433e-10,6.790430327253242e-10,6.495517394590736e-11,5.141000818858043e-11,1.4983875120338718e-05,1.521566310090643e-06,4.501179209407527e-13,4.295022657941483e-13,1.11375494308194e-07,1.046569029522829e-08,4.999737955464631,12.017937279339968,51.80168461032544,9.29854368254588,-98.86740402214144,-92.32072715210712,-9.478424065142748,-9.73626640799406,-98.89210136041572,-89.78076997774954,7.297078755171232e-10,7.606499984979816e-10,9.860304829145457e-11,5.619039025719599e-11,1.6970676694030557e-07,1.1684522851347625e-07,4.0745383560078416e-13,3.876847809680593e-13,1.2339275862707378e-09,1.069512964685721e-09
10,3.7326929582484104e-07,1.2967271092300613e-06,4.0030508003819124e-07,7.493956086475635e-07,5.198390173826927e-06,3.147886509036159e-06,1.1890779913400593e-10,2.2740035408497362e-10,2.4357105735553475e-07,2.3062860459062036e-07,-95.44374271498735,-97.03549118343803,-98.88796546228491,-98.55053873839469,115.32751766013236,-11.2017731726446,579.2330334895202,170.4457591221483,143.48198928420484,1199.6797601562428,1.7007109483734706e-08,3.844158947987445e-08,4.451530746252727e-09,1.0862199043517805e-08,1.1193564519589762e-05,2.795267402561648e-06,8.076610511135338e-10,6.149946138515601e-10,5.930516557698275e-07,2.997433294995064e-06
11,6.588471539014475e-09,6.009769170576539e-09,4.34162073435822e-11,5.35811591001918e-11,9.757312715542204e-08,5.143164555709347e-09,1.2719239246616338e-12,1.6348561981158358e-12,3.2494304008097926e-09,1.6910406201819279e-09,-91.91747200980869,-92.89601240227698,-8.588424818428615,-16.782464082499793,-74.5244320127884,-35.61411822220874,-39.57880860807603,-58.015529509902144,-71.0625877376961,-34.763078250003076,5.325150562666333e-10,4.2693325652953876e-10,3.968743901686556e-11,4.458892031921504e-11,2.485730834572797e-08,3.3114718504762833e-09,7.685115888794766e-13,6.863857180534788e-13,9.403010712589639e-10,1.103182846148747e-09
12,1.9425140095977243e-09,3.489794119549356e-09,1.3132232784077742e-10,2.500203679402676e-10,5.282341768492288e-06,9.690530231187858e-06,2.046544676562934e-12,2.3120063498503085e-12,1.4998010776845166e-08,2.244307620176048e-08,-53.746711939909545,-75.03885184443907,418.9945947149184,596.5659402847143,-33.663523270591995,-86.33787036118413,144.8866505359343,2147.6139008378304,-85.341952905313,-91.67497192605538,8.984766004668487e-10,8.710926805047681e-10,6.815557831474392e-10,1.7415567268464277e-09,3.504119418023686e-06,1.3239328028735276e-06,5.0117147101564396e-12,5.196497610748885e-11,2.198415482936198e-09,1.8683923944533436e-09
13,6.785554321721874e-10,2.59215364541073e-10,8.469480831413817e-11,5.201828816147457e-11,8.208960019534793e-09,6.598050099826469e-09,8.462249597383234e-13,3.36095661063317e-13,1.3903589191012545e-09,1.4156286555979005e-09,-7.597881234282013,128.3105138216053,38.01277438108242,13.932076398891043,-18.897993920744092,-24.55748318019025,16.51780494657251,2.1773765319743172,12.5552136216172,-22.129988485072417,6.269995963269756e-10,5.91815930688271e-10,1.1688965471108175e-10,5.92655158095265e-11,6.657631254086795e-09,4.977735056341058e-09,9.860027479971114e-13,3.434137291122936e-13,1.5649214515016249e-09,1.1023501971226997e-09
